Discovered hosts
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
192.168.3.48.novalocal,251.27,32.120000000000005,12.78%,40.08000000000001,15.95%,30.730000000000018,12.23%,35.71,14.21%
192.168.3.49.novalocal,251.27,6.8700000000000045,2.73%,19.850000000000023,7.90%,6.1200000000000045,2.44%,6.91,2.75%
192.168.3.50.novalocal,251.27,4.920000000000016,1.96%,5.159999999999997,2.05%,4.850000000000023,1.93%,4.93,1.96%
192.168.3.51.novalocal,251.27,37.95000000000002,15.10%,38.360000000000014,15.27%,37.93000000000001,15.10%,38.1,15.16%
192.168.3.52.novalocal,503.0,39.110000000000014,7.78%,39.5,7.85%,39.10000000000002,7.77%,39.26,7.81%
192.168.3.53.novalocal,503.0,39.31999999999999,7.82%,39.35000000000002,7.82%,38.889999999999986,7.73%,39.08,7.77%
192.168.3.54.novalocal,503.0,47.52999999999997,9.45%,47.99000000000001,9.54%,46.860000000000014,9.32%,47.67,9.48%
192.168.3.55.novalocal,503.0,39.01999999999998,7.76%,39.389999999999986,7.83%,39.00999999999999,7.76%,39.17,7.79%
192.168.3.56.novalocal,503.0,22.70999999999998,4.51%,22.870000000000005,4.55%,22.620000000000005,4.50%,22.7,4.51%
192.168.3.57.novalocal,503.0,22.69999999999999,4.51%,22.70999999999998,4.51%,22.610000000000014,4.50%,22.68,4.51%
192.168.3.58.novalocal,503.0,22.649999999999977,4.50%,22.680000000000007,4.51%,22.589999999999975,4.49%,22.65,4.50%
192.168.3.59.novalocal,503.0,22.680000000000007,4.51%,22.730000000000018,4.52%,22.610000000000014,4.50%,22.69,4.51%
192.168.3.60.novalocal,503.0,14.420000000000016,2.87%,14.430000000000007,2.87%,14.399999999999977,2.86%,14.42,2.87%
192.168.3.61.novalocal,503.0,13.779999999999973,2.74%,13.79000000000002,2.74%,13.759999999999991,2.74%,13.78,2.74%
192.168.3.62.novalocal,503.0,103.23000000000002,20.52%,103.24000000000001,20.52%,102.11000000000001,20.30%,102.96,20.47%
192.168.3.63.novalocal,503.0,6.189999999999998,1.23%,89.00999999999999,17.70%,5.949999999999989,1.18%,6.67,1.33%
192.168.3.64.novalocal,503.0,5.810000000000002,1.16%,6.1299999999999955,1.22%,5.810000000000002,1.16%,5.9,1.17%
192.168.3.65.novalocal,503.0,6.019999999999982,1.20%,6.110000000000014,1.21%,5.8799999999999955,1.17%,5.96,1.18%
192.168.3.66.novalocal,503.0,5.149999999999977,1.02%,5.160000000000025,1.03%,4.920000000000016,0.98%,5.01,1.00%
192.168.3.67.novalocal,503.0,4.8700000000000045,0.97%,4.9599999999999795,0.99%,4.720000000000027,0.94%,4.81,0.96%
192.168.3.68.novalocal,503.0,4.7099999999999795,0.94%,4.949999999999989,0.98%,4.7099999999999795,0.94%,4.8,0.95%
192.168.3.69.novalocal,503.0,4.949999999999989,0.98%,4.9599999999999795,0.99%,4.7099999999999795,0.94%,4.81,0.96%
192.168.3.70.novalocal,503.0,4.7099999999999795,0.94%,4.949999999999989,0.98%,4.7099999999999795,0.94%,4.79,0.95%
192.168.3.71.novalocal,503.0,4.720000000000027,0.94%,4.939999999999998,0.98%,4.7099999999999795,0.94%,4.8,0.95%
192.168.3.72.novalocal,503.0,4.910000000000025,0.98%,4.920000000000016,0.98%,4.699999999999989,0.93%,4.79,0.95%
192.168.3.73.novalocal,503.0,4.720000000000027,0.94%,4.949999999999989,0.98%,4.720000000000027,0.94%,4.81,0.96%
192.168.3.74.novalocal,503.0,4.939999999999998,0.98%,4.949999999999989,0.98%,4.720000000000027,0.94%,4.8,0.95%
192.168.3.75.novalocal,503.0,4.699999999999989,0.93%,4.920000000000016,0.98%,4.689999999999998,0.93%,4.78,0.95%
192.168.3.76.novalocal,503.0,4.850000000000023,0.96%,4.9599999999999795,0.99%,4.720000000000027,0.94%,4.8,0.95%
192.168.3.77.novalocal,503.0,4.850000000000023,0.96%,4.939999999999998,0.98%,4.7099999999999795,0.94%,4.79,0.95%
192.168.3.78.novalocal,503.0,110.08999999999997,21.89%,150.64,29.95%,31.74000000000001,6.31%,137.94,27.42%
192.168.3.79.novalocal,503.0,12.319999999999993,2.45%,12.329999999999984,2.45%,7.589999999999975,1.51%,11.37,2.26%
192.168.3.80.novalocal,503.0,8.410000000000025,1.67%,8.649999999999977,1.72%,8.399999999999977,1.67%,8.49,1.69%
192.168.3.81.novalocal,503.0,8.259999999999991,1.64%,8.759999999999991,1.74%,5.519999999999982,1.10%,7.9,1.57%
192.168.3.82.novalocal,503.0,6.430000000000007,1.28%,6.610000000000014,1.31%,6.399999999999977,1.27%,6.43,1.28%
